2078110;ALICATE GROOVELOCK10 IRW V-GRIP10505510
2078226;ALICATE BICO CURV 6" IRW V-GRIP 10505505
2078228;ALICATE BICO CURV 8" IRW V-GRIP 10505505
JS650LK-BR;SERRA TICO-TICO COM LASER V. VARIÁVEL
BDI400-BR;INVERSOR DE CORRENTE
MT300B2;BATEDEIRA COM PEDESTAL 220V
LI2000T-BR;PARAFUSADEIRA DE LITIO 3,6V COM 30AC
4-86-010;1/4" - 4" CABO "T"
4-86-011;1/4" - 1/4" JUNTA UNIVERSAL
4-86-127;8 X 9MM CHAVE ESTRELA
4-86-192;1/2"-34MM SOQUETE ESTRIADO
4-86-202;3/8" - 7" CABO "T"
4-86-436;28MM SOQUETE LONGO 1/2"ESTRIADO
4-86-509;1/2"-9MM SOQUETE SEXTAVADO
4-86-510;1/2"-10MM SOQUETE SEXTAVADO
4-86-513;1/2"-13MM SOQUETE SEXTAVADO
4-86-514;1/2"-14MM SOQUETE SEXTAVADO
4-86-536;1/2"-36MM SOQUETE SEXTAVADO
PFOX527T;FERRO SECO VAPOR
4-86-859;14MM CHAVE COMBINADA
4-89-218;1/2" -T30 CHAVE SOQUETETORX
4-93-367;1/2"C/FURO GUIA T-45S CHAVE SOQUET.TORX
42-467;18" NIVEL DE RESINA 3 BOLHAS
46-532;8" ESQUADRO PROFISSIONAL
46-534;10" ESQUADRO PROFISSIONAL
46-536;12" ESQUADRO PROFISSIONAL
51-081;27MM MARTELO UNHA METAL C/CABO EMB.450G
51-271S;27mm MARTELO UNHA CABO DE MADEIRA
51-420S;27MM MARTELO FERRADURA CABO MADEIRA 450G
51-424S;29MM MARTELO FERRADURA CABO MADEIRA 570G
51-426S;25MM MARTELO FERRADURA CABO MADEIRA 200G
JS110BEBR;SERRA TICO-TICO
2078512;ALICATE BO DAGUA 12" VISE-GRIP 2078512
DW352B2;SERRA CIRCULAR 7 1/4
2078608;CHAVE AJUST 8 "IRWIN VISE-GRIP 10505488
2078610;CHAVE AJUST 10" IRWIN VISE-GRIP 10505490
2078612;CHAVE AJUST 12" IRWIN VISE-GRIP 10505492
185515-00;ETIQ.PARDA B&D
184792-05;MANUAL CD400
99090-002;TRAVA DE SEGURANCA COM CODIGO, SMARTCODE
DW099;NIVELADOR LASER DE 3 PONTOS
78-246LA;JOGO DE VENTOSAS P/VALVULA 1/2"
SP614019;GUARDA
SP615001;CABO ELETRICO
2078955;MINI-ALICATE BICO LGO CHT AR5-1/2"V-GRIP
2081101;ESTILETE IRW TRAPE STD FIXO LEF2081101
2084100;KIT LÂMINAS BIM IRWIN EMB AS 5PÇS BLADE
21-295;LIMA SURFORM 17-3/8"
21-296;PLAINA SURFORM
BBC02-B2;CARREGADOR DE BATERIA 2A
BBC10-B2;CARREGADOR DE BATERIA INTELIGENTE
BDHT51397;MARTELO UNHA C/ CABO DE FIBRA DE VIDRO - 29mm / 20oz - BDHT51397 - BLACK&DECKER
BDHT62296;CHAVE DE FENDA PONTA CRUZADA PH1 X 100mm - BDHT62296 - BLACK&DECKER
BDSG500-B2;PARAFUSADEIRA DRYWALL 220V
BT1200-B2;FURADEIRA DE BANCADA 1/2’’ X 8’’
BT1400-B2;SERRA ESQUADRIA 10
D25133KB2;MARTELETE ELETROP. SDS PLUS 800W
D25811K-BR;MARTELO DEMOLIDOR SEXTAV.1100W 5KG 127V
D25820K-B2;MARTELO ELETROPNEUMATICO 220V
D28112B2;ESMERILHADEIRA 4 1/2”
DCD776C2BR;PARAFUSAD/FURAD. IMP. 13mm 20V MAX 127V
SP624005;MOLA
PFOX545X;FERRO SECO VAPOR SPRAY
SP901004;ESCOVA ASSOALHO(CINZA)
184943-14;ETIQUETA ST5000
185858-00;BOLSA DEWALT
603757-02;LISTA ASSIST.TECNICAA.L.
185424-14;ETIQ.ADESIVA
579795-00;MANUAL 7552
DCS388T2-BR;SERRA SABRE FLEXVOLT 60V
184420-17;MANUAL ESP. KBM700/800
185072-22;MANUAL INSTR.INGL 7359
185072-23;MANUAL INSTR.PORT. 7359
DT9401-QZ;BROCA SDS MAX 12 X 540 X 400MM
DT9405-QZ;BROCA SDS MAX 14 X 340 X 200MM  
DT9445-QZ;BROCA SDS MAX 40 X 570 X 450MM
DT9534-QZ;BROCA ENC.SDS PLUS EXTREME 8 X 400 X 460
DT9537-QZ;BROCA ENC.SDS PLUS EXTREME 9 X 150 X 210
DT9546-QZ;BROCA ENC.SDS PLUS EXTREME 10 X 540 X 600
DT9572-QZ;BROCA ENC.SDS PLUS EXTREME 14 X 940 X 1000
DT9581-QZ;BROCA ENC.SDS PLUS EXTREME 16 X 240 X 300
DT9582-QZ;BROCA ENC.SDS PLUS EXTREME 16 X 390 X 450
SP901218;CONJ DO COLETOR DE PO
DW507KB2;FURADEIRA DE IMPACTO 1/2
SP901627;ROTOR 110V.S/ROLAMENTO
279827-00;EIXO PINHAO
SP901811;BORRACHA DO MOTOR
SP901818;LIMITADOR
SP901841;CORREIA
SP901853;VENTOINHA - AC8000
283522-00;FIXADOR ESQUERDO
283524-00;MANCAL DO FUSO
DW3765H2;3" 12DPP CORTE CURVO MADEIRA ENC "T" HCS
DW47401BHP;DISCO DIAMANTADO 4" 105MM CONTINUO - FURO 20MM PARA USO EM SERRA MÁRMORE
DWA30120G;BROCA AÇO RÁPIDO 12.00 mm GOLD FERRROUS
DWE575-BR;SERRA CIRCULAR 7 1/4 127V 1800W
SP615096;SUPORTE
SP615101;FUSO
SP615122;ESTATOR 220V
SP615225;BORRACHA DE PROTECAO
SP904246;BOCAL ENTRADA D AGUA
285814-24;JUNTA DA TAMPA DOCABECOTE
SP615416;TAMPA CX. DE ENGRENAGEM
SP615417;EIXO
SP615444;TAMPA
SP615471;GUIA DE CORTE ESQUERDO
SP904439;EIXO VALV VAP SUPERIOR
SP904649;BASE C/ TERMOSTATO
DW545K;MARTELO PERFURADOR / ROMP.
21-299;LAMINA CURVA DE REPOS.RASPADOR SURFORM
SP904767;TAMPA TRAS. AZUL 110V
SP904885;BASE 220V PFK
SP905210;PARAFUSOREGULADOR
SP624001;MODULO ELETRONICO
SP624003;ACOPLAMENTO
SP624010;COLAR
SP908157;PROTETOR FRONTAL
SCE520-BR;INFLADOR ION DE LITIO 20V MAX BARE 127V
SP601406;ESTATOR 127 V-PRO 13-M
SP603535;ANEL DO ROLAMENTO
LI3100KBR;PARAFUSADEIRA DE LITHIUM 3.6V BIVOLT
SP605523;DEFLETOR
SP912062;PINO DE ACIONAMENTO
185624-00;SUPORTE P/REFRIGERACAO PRO30
DCD980L2-B2;FURADEIRA/PARAFUSADEIRA 1/2
SP912060;PINHAO
SP912068;SUPORTE DO MOTOR
DCD776LC2-B2;PARAFUSAD/FURAD. IMP. 13mm 20V MAX 220V
PFOX527T;FERRO VAPOR 127V
SP606222;ROTOR 120V
185536-00;FRONTAL PULSAR BRANCOBLENDER
187901-00;FRONTAL PRETO LF910
SP607339;PARAFUSO DW 848-DW848/852 -A
184967-00;CONJ. TERMOSTATO TCO OSF
KMVSB30T;MIXER VERTICAL 127V
SP612666;DESLIZANTE
SP612680;PARAFUSO
087108-01;TAMPA TRASEIRA 7359
184840-00;PARAFUSO SEXTAVADO M8X30
186242-01;ETIQ.ESPECIF.7359B2
186242-03;ETIQ.ESPECIF.7359BR
186673-00;ESPAGUETE 10mm PRETOFIAC 0820539
186973-00;TUBO PRETO 1961233
SP612637;CABO ELETRICO
SP617246;PROTETOR DO ROLAMENTO
TB41179;BR DIN 340 TW204 L-T 195X11.10MM TB C/5
578196-01;ENGRENAGEM EMBAL.DW852
TB41804;BR DIN 1869/1 TW301 L-T 295X12.0MM TB UN
TB42246;BR DIN 345 TW404 L-T 243X51/64" TB UN
TB42339;BR DIN 341 TW414 L-T 155X5.00MM TB UN
SP602208;ATUADOR IMPACTO FIXO
SP621101;MOTOR COMPLETO 120V
SP621102;CARVAO 120V
SP621111;INTERRUPTOR
SP621128;TUBO DE ACO-GL400 -A
SP621180;ROTOR 120V
SP623044;CONDUTOR 127V-KR-A
SP623068;PLACA DE ESPECIF. 220VPRETA
DCK242M1;PARAF/FUR.1/2 2VVR 127V
SP904282;BOTAO SPRAY X380 -OSF -P
SP904411;PLACA INDICADORA -OSF -A
SP904858;COBERTURA
SP904940;TERMOSTATO VFA -VFA -L
SP904941;TERMOSTATO -VFA -L
SP904959;TPA TRASEIRA AZUL S/ GRAVAC-F200-P
SP904994;BOTAO SPRAY-OSF -P
SP904995;COBERTURA-OSF -L
SP904996;BASE TEFLON 220V X360-OSF -F
SP905175;MOLA
SP905176;PARF TAMPA CABO ELETRICO
SP905186;REBITE (SUP TERMOSTATO)
SP905203;PLACA CONTROLE G48 -GRILL -A
SP906703;ESTATOR AV400 3 VEL 220V
SP906704;CHAVE ELETRICA 3 VEL
SP906705;CABO ELETRICO
SP906714;HELICE 40CM AV400
SP906715;GRADE TRAS AV300 C/ ALCA
SP910132;PORCA DO ARRASTE -BLENDER -A
SP910143;PORCA
SP910214;PARAFUSO
SP910216;PARAFUSO
SP910250;PARAFUSO
SP910251;PARAFUSO AJUSTE PROFUND.
SP910497;PARAFUSO
SP910498;PARAFUSO
SP910936;PARAFUSO
SP910978;PARAFUSO
SP912154;MOTOR COMPLETO 220V
SP915003;BASE DO BLENDER-BLENDER-P
SP915045;CHAVE ELETRICA 2 VEL.
SP916100;CONJ. ALCA E CINTA
SP916104;JARRA DE VIDRO DCM40
SP920074;PARAFUSO
SP920097;PARAFUSO
SP921002;ARRUELA MOLA
SP923006;ANEL DE RETENCAO
SP924007;ANEL O  RING
STA50018C;BROCA AR HELICOIDAL ANSI B 94 11M P/ METAL STANLEY 68mm X 1/8" - AUTOSSERVIÇO
STA50038C;BROCA AR HELICOIDAL ANSI B 94 11M P/ METAL STANLEY 123mm X 3/8" - AUTOSSERVIÇO
STA53070B;BROCA C/ PONTA MD P/ CONCRETO STANLEY 100mm X 07.00mm - 9/32" - GRANEL
STGL2218-B2;ESMERILHADEIRA ANG.7 2200W 220V
STGS8115-BR;ESMERILHADEIRA ANG.850W 127V
STHR1232K-BR;MARTELETE PERFURADOR SDS PLUS 1250W
STHT42072-LA;NIVEL DE ALUMINIO 12"
STHT42073-LA;NIVEL DE ALUMINIO 18"
STHT60671;1/8 X 6" CHAVE DE FENDA PLANA
STMT60801-840;1/8X4" PH0 CHAVE EMBORRACHADA PHILLIPS
STMT60829-840;1/4X8" CHAVE EMBORRACHADA FENDA PLANA
STMT60830-840;1/4X10"CHAVE EMBORRACHADA FENDA PLANA
STMT73647-LA;JOGO DE CHAVES COMBINADAS COM 06 PCS ANTISLIP - STMT73647-LA - STANLEY
STMT80703-840;JOGO DE SOQUETES 1/2" 15PECAS
STST98370-BR;CARRO P/TRANSPORTE CARGA DOBR.3ROD.120KG
TB40029;BR DIN 338 TW104 L-T 49X2.05MM TB C/10
TB40056;BR DIN 338 TW104 L-T 70X3.70MM TB C/10
TB40070;BR DIN 338 TW104 L-T 86X4.80MM TB C/10
TB40074;BR DIN 338 TW104 L-T 86X520MM TB C/10
TB40075;BR DIN 338 TW104 L-T 86X5.25MM TB C/10
TB40078;BR DIN 338 TW104 L-T 93X550MM TB C/10
TB40098;BR DIN 338 TW104 L-T 109X7.20MM TB C/5
TB40101;BR DIN 338 TW104 L-T 109X7.40MM TB C/5
TB40102;BR DIN 338 TW104 L-T 109X7.50MM TB C/5
TB40117;BR DIN 338 TW104 L-T 125X8.75MM TB C/5
TB40152;BR DIN 338 TW104 L-T 142X11.70MM TB C/5
TB40154;BR DIN 338 TW104 L-T 142X11.80MM TB C/5
TB40171;BR DIN 338 TW104 L-T 160X13.25MM TBA UN
TB40189;BR DIN 338 TW104 L-T 184X16.25MM TBA UN
TB40195;BR DIN 338 TW104 L-T 191X17.75MM TBA UN
TB40211;BR DIN 338 TW104 L-T 220X23.50MM TBA UN
TB40215;BR DIN 338 TW104 L-T 230X25.50MM TBA UN
TB40223;BR ANSI B 94 TW105 L-T 45X3/64" TB C/10
TB40260;BR ANSI B 94 TW105 L-T 186X5/8" TB UN
TB40457;BR TW100 L-T 46X1.75MM TB C/10
TB40473;BR TW100 L-T 65X3.10MM TB C/10
TB40474;BR TW100 L-T 65X3.20MM TB C/10
TB40488;BR TW100 L-T 80X4.30MM TB C/10
TB40498;BR TW100 L-T 86X5.20MM TB C/10
