103301022ATE;MULTI PRO ALL IN ONE BR CITRUS 127V V.E
055401022ATB;ESCOVA SOFT BRUSH 127V V.B                                                      
063501003;SEC CABELOS SP PROFISSIONAL 127V   
066401064ATA;PANELA DE PRESSAO DIGITAL 5L 127V V.A
066302025;CORTADOR DE CABELOS BCR06 220V
053902024;CAF PH31 INOX RED 220V
066402054ATB;PANELA ARROZ PA10 PRIME 220V V.B
055403033;CACHEADOR AUTOMATICO STYLER PEC10 BIV
063602063;FE FB1000C 220V
105903005ATA;COOK CHEF 5 BIV V.A
099503007ATA;TV PTV50E60SN LED V.A                                                           
033401114;BATEDEIRA PLANETARIA BBP515V 127V
052153007ATA;BARBEADOR ACQUA BIV V.A
051201001;MULTIPROCESSADOR RETRO PMP1000V 127V
066352004;GELATTO SORBET VM 220V
103102074;LIQUIDIFICADOR PLQ10P 220V
057003070ATD;AUDIO PB126L VERSAO D                                                           
056451016ATA;FRIGOBAR PH85N 127V V.A
056603129ATA;SOUNDBAR PHS130BT V.A                             
063502060ATA;SECADOR DE CABELO BSC2700 BLACK 220V                                            
057103054;TV PH19R2 LED                      
099323018ATB;TV PH32S61DG LED V.B
055401012;ESC ROTATIVA DUO CERAMIC 127V
055401008;ESC ROT SPIN ION BRUSH 127V
713981;PCI PRINC PH58E30DSG
066701086ATA;SAND BELLO PANE INOX N 127V V.A
103402035;BAT PLANETARIA PHP500 TURBO INOX BR 220V
064901036;ASP 1390 MAXX RED 127V
066121011;CIRC C60 TURBO 127V
103011002ATA;VENT TURBO SILENCE 30 PR 127V V.A
055203003ATA;PURIFICADOR PH20 BIV V.A
096052016;MICROONDAS PME25BM 220V
066401054ATA;PANELA ARROZ PA10 PRIME 127V V.A
066301005;CORT CABELOS CROME PRO 127V
064001003;SAND GRILL GBK 127V                
056603729ATA;CAIXA ACUSTICA PHT100 V.A                                                       
054002029;SAND PLATINUM 220V
103401041ATA;BAT PLANETARIA PHP500 TURBO WINE 127                                            
066401048ATD;PANELA DE PRESSAO 3L 127V V.D                                                   
033102228;LIQUIDIFICADOR BLQ950P GLASS 220V
033102106ATC;LQ ELETRONIC FILTER 800 4V PR 220V V.C
096051040;MICROONDAS PMO25I 127V
103102047;LQ PH TOUCH AZC 220V
057163005;MONITOR PH16N59B
065402014ATB;ESCOVA ROTATIVA DUO 220V V.B
096051055;MICROONDAS PMO33ES 127V
096052028;MICROONDAS PME31 GRILL 220V
063801046;FRIT AIR FRY AFPS30 127V
056603721ATA;CAIXA ACUSTICA PHT5000 V.A                                                      
063902100ATA;CAFETEIRA INOX PLUS BCF18I 220V V.A                                             
098205063ATA;TABLET 10.1D-B422A4.2-PG V.A
053901038;CAF EXPRESSO HOME COFFEE FUN KITCHEN 127V
056955023ATB;AUTO RADIO PCA550 V.B
098003589ATA;NETBOOK 10C-L144WP V.A
096052018ATC;MICROONDAS PME22 220V V.C
054801004ATC;ADEGA PH16E 127V V.C
063901102;CAFETEIRA INOX PLUS BCF36I 127V
056402020ATA;PANELA ARROZ PH5R 220V V.A
033101086;LQ REVERSE BLQ1000P 127V
103302032ATD;MULTIPRO ALL IN ONE PLUS PLATINUM 22                                            
056702028;GRILL MASTER PRESS INOX DESIGN PGR04PI 220V
056401017ATXA89C;PANELA ARROZ PH5 VISOR GLASS BR 127V                                            
065102002ATE;BEBEDOURO HOT AND COLD 2 220V V.E
053802028ATA;FRIT AIR FRY SAUDE INOX PH3.2L 220V                                             
096652440;AR COND PAC12000TFM5B
096652441;AR COND PAC12000TFM5B
063801020;FRIT AIR FRY PROSAUDE PR 127V
103401032;BAT PLANETARIA PH500 BR127V
053952000;CHALEIRA CONTROLE TEMPERATURA 220V
033401114;BATEDEIRA PLANETARIA BBP515V 127V
051201001;MULTIPROCESSADOR RETRO PMP1000V 127V
066352004;GELATTO SORBET VM 220V
103102074;LIQUIDIFICADOR PLQ10P 220V
103101050ATE;LQ PH TOUCH WINE 127V V.E                                                       
054002016;GRILL COMPACT DUO 220V
033402053ATC;BAT BELLAGIO CRISTAL NEVE PR 220V V.                                            
9063802000;FRIT FRITA FACIL 220V              
054901039ATA;ASP PO PAS1700 127V V.A                                                         
053952012ATA;CHALEIRA DIGITAL 1.7L 220V V.A                                                  
056603763;CAIXA ACUSTICA PCX6500 BIV.
064902041;ASP PO PH2000 MAXX FUN KITCHEN 220V
099403008;TV PH40R86DSGW
056102070;FORNO ELETRICO PFE45I DUO 220V
056003021ATB;PRANCHA ARGAN SHINE BIV V.B
066101049ATA;FORNO ELETRICO EMBUTIR BFE46I 127V V.A
066102032;FORNO ELETRICO 50L SILVER N 220V
